rid|tib-title|license|access
W6493|གསུང་འབུམ། དྷརྨ་བྷ་དྲ|ccby|openAccess
W447|གསུང་འབུམ། བློ་གྲོས་རྒྱལ་མཚན|ccby|openAccess
W4CZ34261|གསུང་འབུམ། བསྟན་དར་ལྷ་རམས་པ།|ccby|openAccess
W4CZ34262|གསུང་འབུམ་། ཐོགས་མེད་ཟང་པོ་དཔལ།|ccby|openAccess
W1KG16744|བཻ་ཌཱུརྱ་སེར་པོ་དང་མཚོ་སྔོན་གྱི་ལོ་རྒྱུས་ཚངས་གླུ་གསར་སྙན།|ccby|openAccess
W23430|གསུང་འབུམ། བློ་བཟང་ཆོས་ཀྱི་རྒྱལ་མཚན|ccby|openAccess
W1PD177557|པཎ་ཆེན་བློ་བཟང་ཆོས་ཀྱི་རྒྱལ་མཚན་གྱི་གསུང་འབུམ།|ccby|openAccess
W15960|དབྱངས་ཅན་གྲུབ་པའི་རྡོ་རྗེའི་རྣམ་ཐར།|ccby|openAccess
W15964|བཀའ་གདམས་ཆོས་འབྱུང་གསལ་བའི་སྒྲོན་མེ|ccby|openAccess
W1KG11665|གསུང་འབུམ། ངག་དབང་མཁྱེན་རབ།|ccby|openAccess
W1KG11666|གསུང་འབུམ། བསྟན་འཛིན་འཕྲིན་ལས་འཇིགས་མེད་ཆོས་ཀྱི་དབང་ཕྱུག ༼དབུ་ཅན་བྲིས་མ།༽|ccby|openAccess
W16470|བློ་བཟང་དཔལ་ལྡན་བསྟན་འཛིན་སྙན་གྲགས་དཔལ་བཟང་པོའི་རྣམ་ཐར|ccby|openAccess
W16515|གསུང་འབུམ། བློ་བཟང་འཇམ་དབྱངས་སྨོན་ལམ|ccby|openAccess
W16912|གསུང་འབུམ། ངག་དབང་མཁས་གྲུབ|ccby|openAccess
W16936|གསུང་འབུམ། བློ་བཟང་བཤད་སྒྲུབ་རྒྱ་མཚོ།|ccby|openAccess
W17157|ཙོང་ཁ་པའི་རྣམ་ཐར་གོ་སླར་བར་བརྗོད་པ|ccby|openAccess
W1KG15817|གསུང་འབུམ། བློ་བཟང་འཇམ་དབྱངས་སྨོན་ལམ།|ccby|openAccess
W17168|རྡོ་རྗེ་ཐེག་པའི་རྣམ་གཞག|ccby|openAccess
W175|ངག་དབང་བློ་བཟང་རྒྱ་མཚོའི་རང་རྣམ|ccby|openAccess
W18611|དགའ་ལྡན་ཆོས་འབྱུང|ccby|openAccess
W19341|གསུང་འབུམ། བློ་བཟང་བཟོད་པ|ccby|openAccess
W1KG16205|གསུང་རྩོམ་ཐོར་བུ། བློ་བཟང་བསྟན་འཛིན།|ccby|openAccess
W1KG16208|ཆོས་འབྱུང་ཀུན་བཏུས་པདྨ་དཀར་པོའི་ཆུན་པོ་བློ་གསལ་འདྲེན་བྱེད་བདུད་རྩིའི་དཔལ་ཡོན།|ccby|openAccess
W1KG16216|ལེགས་བཤད་འོད་དཀར་ཕྲེང་བ། ༼༡༣༽|ccby|openAccess
W19617|གསུང་འབུམ། ངག་དབང་ཕུན་ཚོགས|ccby|openAccess
W17169|འཇིགས་བྱེད་ཀྱི་བསྐྱེད་རྫོགས་ཀྱི་རྣམ་གཞག|ccby|openAccess
W19836|པོ་ཏ་ལར་བཞུགས་པའི་དགེ་ལུགས་གསུང་འབུམ་གྱི་དཀར་ཆག|ccby|openAccess
W1986|གསུང་འབུམ། དབྱངས་ཅན་དགའ་བའི་བློ་གྲོས|ccby|openAccess
W19999|དགེ་ལུགས་པའི་ཆོས་སྤྱོད་ཕྱོགས་བསྒྲིགས|ccby|openAccess
W1CZ1033|འཇམ་དབྱངས་མཁྱེན་བརྩེའི་དབང་པོའི་རྣམ་ཐར|ccby|openAccess
W1CZ1041|གསུང་ཐོར་བུ། བཅོམ་ལྡན་རིག་པའི་རལ་གྲི|ccby|openAccess
W1CZ1065|མཁའ་འགྲོ་སྙན་བརྒྱུད་ཀྱི་གཉན་ཁྲོད་འགྲིམ་པའི་ཡིག་ཆུང|ccby|openAccess
W1CZ1084|གསུང་འབུམ། ཐོགས་མེད་བཟང་པོ་དཔལ|ccby|openAccess
W1CZ1101|གསུང་འབུམ།  བྱམས་པ་གླིང་པ|ccby|openAccess
W1CZ1279|བཀའ་གདམས་ཐིག་ལེ་བཅུ་དྲུག་གི་དབང་གི་ཟིན་བྲིས|ccby|openAccess
W1KG17585|ཕུང་པོ་གཟན་སྐྱུར་གྱི་རྣམ་བཤད་གཅོད་ཀྱི་དོན་གསལ་བྱེད།|ccby|openAccess
W1CZ2398|གུང་ཐང་པའི་ཤེས་རབ་སྙིང་པོའི་སྔགས་ཀྱི་རྣམ་བཤད་དང་ཅོ་ནེ་བླ་མ་བློ་བཟང་རྒྱ་མཚོའི་ལྟ་མགུར་སོགས|ccby|openAccess
W1CZ2419|རི་བོ་དགེ་ལྡན་པའི་ཆོས་སྤྱོད་ཁག་གཅིག་གི་འགྲེལ་པ།|ccby|openAccess
W1CZ2744|གསུང་འབུམ།  བཞད་པའི་རྡོ་རྗེ། ༼དབུ་མེད།༽|ccby|openAccess
W1CZ2853|བཀའ་གདམས་ཐིག་ལེ་བཅུ་དྲུག་གི་དཀྱིལ་ཆོག་བཀའ་གདམས་གསལ་བྱེད|ccby|openAccess
W1CZ2856|གསུང་འབུམ། བསོད་ནམས་རྒྱ་མཚོ|ccby|openAccess
W1CZ2857|གསུང་འབུམ། དགེ་འདུན་རྒྱ་མཚོ|ccby|openAccess
W1CZ3|བཀའ་གདམས་ཆོས་འབྱུང|ccby|openAccess
W1CZ885|ཆོས་དང་ཆོས་མ་ཡིན་པ་རྣམ་པར་དབྱེ་བའི་རབ་ཏུ་བྱེད་པ|ccby|openAccess
W1CZ891|སྨྱུང་གནས་བླ་མ་བརྒྱུད་པའི་རྣམ་ཐར་ཡིག་དྲུག་དང་སྨྱུང་གནས་ཀྱི་ཕན་ཡོན|ccby|openAccess
W1CZ895|གསུང་འབུམ་། ཐོགས་མེད་བཟང་པོ་དཔལ།|ccby|openAccess
W1GS103597|གསུང་འབུམ། ཡེ་ཤེས་རྒྱལ་མཚན|ccby|openAccess
W1GS135531|གསུང་འབུམ། ནམ་མཁའ་བསྟན་སྐྱོང|ccby|openAccess
W1GS135873|གསུང་འབུམ། བསྟན་པའི་མགོན་པོ|ccby|openAccess
W1GS136667|གསུང་འབུམ། ཚུལ་ཁྲིམས་དར་རྒྱས|ccby|openAccess
W1GS54156|ལེགས་བཤད་དཔེ་ཚོགས་ནོར་བུའི་ཕྲེང་བ། （༡）|ccby|openAccess
W1GS61550|བཀའ་གདམས་ཐིག་ལེ་བཅུ་དྲུག་གི་ཟབ་ཁྲིད་མན་ངག་ཕྱོགས་བསྒྲིགས་དང་གསང་འདུས་འཇམ་དཔལ་རྡོ་རྗེའི་བསྐྱེད་རྫོགས།|ccby|openAccess
W1GS66286|གསུང་འབུམ།  ཨ་ཏི་ཤ།|ccby|openAccess
