rid|tib-title|license|access
W1KG11718|གུ་རུ་དྲག་པོ་བདེ་གཤེགས་ཀུན་འདུས་ཀྱི་སྐོར།|ccby|openAccess
W18115|ཀྱེ་རྡོར་ཕྱི་ནང་བསྐྱེད་རིམ་ཉམས་ལེན་གསལ་བྱེད་དང་ངོར་ཆེན་ཀུན་དགའ་བཟང་པོའི་རྣམ་ཐར་ལེགས་བཤད་རྒྱ་མཚོ།|ccby|openAccess
W18588|ཕྱོགས་ལས་རྣམ་རྒྱལ་གྱི་རྣམ་ཐར་ངོ་མཚར་དགའ་སྟོན|ccby|openAccess
W18649|གཞོན་ནུ་བློ་གྲོས་ཀྱི་རྣམ་ཐར|ccby|openAccess
W18652|དཀོན་མཆོག་དཔལ་བའི་རྣམ་ཐར|ccby|openAccess
W1934|གསུང་འབུམ། རིན་ཆེན་གྲུབ ༼ཞོལ་པར་ཁང༽|ccby|openAccess
W19479|ཀུན་དགའ་རྒྱལ་མཚན་གྱི་རྟོགས་བརྗོད།|ccby|openAccess
W1CZ1033|འཇམ་དབྱངས་མཁྱེན་བརྩེའི་དབང་པོའི་རྣམ་ཐར|ccby|openAccess
W1CZ1034|འགྲོ་མགོན་འཕགས་པ་བློ་གྲོས་རྒྱལ་མཚན་གྱི་གསུང་འབུམ་པོད་གསུམ་པ|ccby|openAccess
W1CZ1057|ངག་དབང་ཆོས་གྲགས་ཀྱི་རྣམ་ཐར|ccby|openAccess
W1CZ1065|མཁའ་འགྲོ་སྙན་བརྒྱུད་ཀྱི་གཉན་ཁྲོད་འགྲིམ་པའི་ཡིག་ཆུང|ccby|openAccess
W1CZ1078|སངས་རྒྱས་འཕེལ་གྱི་རྣམ་ཐར་ཚིགས་སུ་བཅད་པ|ccby|openAccess
W1CZ1106|རྟོགས་ལྡན་མགོན་པོ་ཡེ་ཤེས་ཀྱི་གསུང་མགུར|ccby|openAccess
W1CZ1132|ངོར་ཆེན་དཀོན་མཆོག་ལྷུན་གྲུབ་ཀྱིགསུང་ཐོར་བུ།|ccby|openAccess
W1CZ1145|ངོར་ཆེན་སངས་རྒྱས་ཕུན་ཚོགས་ཀྱི་གསུང་འབུམ་ལས་པོད་ཁ་པ|ccby|openAccess
W1CZ1219|ཐུབ་པའི་དགོངས་པ་གསལ་བ|ccby|openAccess
W1CZ1240|རྣམ་རྒྱལ་མའི་མཆོད་པའི་ཆོ་ག་ཕྱོགས་སྒྲིག|ccby|openAccess
W1CZ164|ཀུན་ཁྱབ་རྡོ་རྗེ་དྲག་པོ་རྩལ་གྱི་སྤྱན་འདྲེན་བསྐང་བ་ཕྲིན་བཅོལ་དང་བཅས་པ|ccby|openAccess
W1KG17572|ས་སྐྱའི་བླ་མཆོད་ཚོགས་གཉིས་ཆར་འབེབས། ཚོགས་མཆོད་བསོད་ནམས་རབ་རྒྱས་སོགས།|ccby|openAccess
W1KG17574|ས་སྐྱ་པའི་བཀའ་སྲུང་རྣམས་ལ་མཆོད་གཏོར་དང་བསྐང་གསོ་དམ་ཅན་དགྱེས་པའི་མཆོད་སྤྲིན་འདོད་དགུའི་དཔག་བསམ་བཀྲ་ཤིས་ནོར་བུའི་དགའ་འཁྱིལ།|ccby|openAccess
W1CZ1858|ཐུབ་པའི་དགོངས་པ་རབ་ཏུ་གསལ་བ་ཞེས་བྱ་བའི་བསྟན་བཅོས|ccby|openAccess
W1CZ1868|བསོད་ནམས་རྒྱལ་མཚན་གྱི་རྣམ་ཐར|ccby|openAccess
W1CZ1870|འཇམ་དབྱངས་དཀོན་མཆོག་བཟང་པོའི་རྣམ་ཐར་དད་པའི་ལྗོན་ཤིང་རྒྱས་བྱེད|ccby|openAccess
W1CZ1871|གསུང་ཐོར་བུ།  གཞོན་ནུ་བློ་གྲོས|ccby|openAccess
W1CZ1872|གུར་གྱི་ཆོས་སྐོར|ccby|openAccess
W1CZ1876|ལམ་འབྲས་བླ་མ་ཚད་མའི་རྣམ་ཐར|ccby|openAccess
W1CZ1881|ཐེག་ཆེན་ཆོས་རྗེ་ཀུན་དགའ་བཀྲ་ཤིས་ཀྱི་རྣམ་ཐར་ངོ་མཚར་རྒྱ་མཚོའི་གཏེར|ccby|openAccess
W1CZ1885|རེད་མདའ་བ་གཞོན་ནུ་བློ་གྲོས་ཀྱི་རྣམ་ཐར|ccby|openAccess
W1KG17585|ཕུང་པོ་གཟན་སྐྱུར་གྱི་རྣམ་བཤད་གཅོད་ཀྱི་དོན་གསལ་བྱེད།|ccby|openAccess
W1CZ2154|བདེ་མཆོག་ཉུང་ངུའི་ཊིཀ་ཀ་མུ་ཏིག་ཕྲེང་བ|ccby|openAccess
W1CZ2157|རིན་ཆེན་བསོད་ནམས་འཕེལ་བའི་རྣམ་པར་ཐར་པ|ccby|openAccess
W1CZ2158|རིན་ཆེན་མཁྱེན་རབ་མཆོག་གྲུབ་དཔལ་བཟང་པོའི་རྣམ་ཐར་མཐོང་བས་དོན་ཡོད|ccby|openAccess
W1CZ2488|ས་སྐྱ་པའི་ཆོས་སྤྱོད་ཁྱེར་བདེ་ཀུན་ཚང|ccby|openAccess
W1CZ878|ངོར་པའི་ཆོས་འབྱུང|ccby|openAccess
W1GS105195|ཐོབ་ཡིག་བུམ་པ་བཟང་པོ|ccby|openAccess
W1KG17605|ས་སྐྱ་པའི་གསུང་རབ་དཔེ་རྙིང་ཁག་གཅིག་ཕྱོགས་བསྒྲིགས་པར་དུ་བསྐྲུན་པའི་དཀར་ཆག་རིན་ཆེན་མཛོད་བརྒྱ་འབྱེད་པའི་ལྡེ་མིག|ccby|openAccess
W1KG17601|ས་སྐྱའི་ཆོ་ག་ཁག་གཅིག་ཕྱོགས་བསྒྲིགས།|ccby|openAccess
W1KG17606|དཔལ་ས་སྐྱ་པའི་ཐུགས་དམ་ཆག་མེད་རྣམ་བཞི་གཙོས་ཞལ་འདོན་གཅེས་བཏུས་ཁག|ccby|openAccess
W1KG17607|ས་སྐྱ་པའི་རྒྱུད་ཀྱི་བཤད་རྒྱུན་ཕྱོགས་བསྒྲིགས།|ccby|openAccess
W1KG10548|གཅོད་སྐོར་དགེ་ལུགས་པའི་ཆོ་ག།|ccby|openAccess
W1KG10776|སྤྱོད་བསྡུས་སྒྲོན་མེ། ༼དབུ་མེད།༽|ccby|openAccess
W1KG10853|གསུང་འབུམ། ཚུལ་ཁྲིམས་རིན་ཆེན། ༼སྡེ་དགེ་པར་མ།༽|ccby|openAccess
W1KG10854|གསུང་འབུམ། ཐུབ་བསྟན་ཆོས་ཀྱི་གྲགས་པ། ༼སྡེ་དགེ་པར་མ།༽|ccby|openAccess
W1KG1111|ས་ལོ་འཇམ་པའི་རྡོ་རྗེ། སྔགས་འཆང་གྲགས་པ་བློ་གྲོས། འཇམ་དབྱངས་བསོད་ནམས་དབང་པོ་གསུམ་གྱི་རྣམ་ཐར|ccby|openAccess
W1KG1279|ཀུན་མཁྱེན་ཆེན་པོ་རོང་པོའི་རྣམ་ཐར|ccby|openAccess
W1KG1646|མ་གཅིག་ལབ་ཀྱི་སྒྲོན་མའི་རྣམ་ཐར་དང་གཅོད་ཀྱི་ཆོས་སྐོར་མ་འོངས་ལུང་བསྟན་བཅས་པ|ccby|openAccess
W1KG1677|དཔལ་ས་སྐྱའི་ཞལ་འདོན་ཕྱོགས་བསྒྲིགས།|ccby|openAccess
W1KG1686|སྡོམ་གསུམ་རབ་དབྱེ|ccby|openAccess
W1KG1880|གསུང་འབུམ། ཀུན་དགའ་བློ་གྲོས།|ccby|openAccess
W1KG2767|གསུང་ཐོར་བུ། དཀོན་མཆོག་ཡོན་ཏན་རྒྱལ་མཚན|ccby|openAccess
W1KG3231|ལམ་འབྲས་གཞུང་བཤད་པོད་དམར་མ།（དབུ་མེད།）|ccby|openAccess
W1KG3381|འབྲི་རྒྱུད་ཡེ་ན་དཔལ་བཀྲ་ཤིས་ལྷ་རྩེ་དགོན་གྱི་ལོ་རྒྱུས།|ccby|openAccess
W1KG3386|འབྲི་རྒྱུད་རབ་བརྟན་དགོན་གྱི་ལོ་རྒྱུས།|ccby|openAccess
W1KG11901|གསང་འདུས་སྟོང་ཐུན། ༼ས་སྐྱ་རྒྱལ་ཡོངས་གསུང་རབ་སློབ་གཉེར་ཁང་གི་གློག་ཀླད་པར་མ།༽|ccby|openAccess
W1KG3709|རོལ་པ་ཟང་ཐལ་གྱི་གཅོད་སྐོར།|ccby|openAccess
W1KG3960|ཟབ་ལམ་མཁའ་འགྲོ་གསང་བའི་གཅོད་ཀྱི་གདམས་པ།|ccby|openAccess
W1KG3982|གཅོད་ཚོགས|ccby|openAccess
W1KG4186|གསུང་ཐོར་བུ། ངག་དབང་ལེགས་པ།|ccby|openAccess
W1KG4219|གསུང་འབུམ། འོད་ཟེར་རྒྱ་མཚོ|ccby|openAccess
W1KG4308|མཁན་ཆེན་འཇམ་དབྱངས་བློ་གསལ་བཟང་པོའི་གསུང་མགུར་གཅེས་བཏུས|ccby|openAccess
W1KG4312|སྔོན་བྱོན་པའི་ས་སྐྱ་པའི་མཁས་པ་རྣམས་ཀྱི་སྔགས་སྐོར།|ccby|openAccess
W1KG4323|གསུང་འབུམ། སངས་རྒྱས་ཕུན་ཚོགས|ccby|openAccess
W1KG4325|གསུང་འབུམ། འཇམ་དབྱངས་ཀུན་དགའ་བསོད་ནམས།（གློག་ཀླད་པར་མ།）|ccby|openAccess
W1KG4326|གསུང་འབུམ། ཀུན་དགའ་རིན་ཆེན|ccby|openAccess
W1KG4457|ལྟ་བའི་གསལ་བྱེད་ཀྱི་ཡིག་ཆུང་རབ་རིབ་མུན་སེལ|ccby|openAccess
W1KG4527|རྒྱལ་བའི་བསྟན་ལ་འཁྲུལ་པ་སྨྲ་བའི་རྡུལ་སེལ་ལུང་རིགས་ཀྱི་བྱི་དོར་དག་བྱེད་ཟེགས་མ|ccby|openAccess
W1KG4852|གཞོན་ནུ་བློ་གྲོས་ཀྱི་རྣམ་ཐར|ccby|openAccess
