filetypes,work#
92692,W00CHZ0103335
50096,W00CHZ0103340
6184,W00CHZ0103341
110124,W00CHZ0103342
7860,W00CHZ0103343
6792,W00CHZ0103344
52996,W00CHZ0103345
141932,W00EGS1015752
5324,W00EGS1016047
4692,W00EGS1016181
3384,W00EGS1016199
6788,W00EGS1016202
169232,W00EGS1016213
16184,W00EGS1016236
347464,W00EGS1016238
302692,W00EGS1016240
31800,W00EGS1016242
784684,W00EGS1016244
369444,W00EGS1016246
165236,W00EGS1016248
11876,W00EGS1016251
2041120,W00EGS1016253
23184,W00EGS1016255
100808,W00EGS1016257
3232,W00EGS1016259
33860,W00EGS1016261
35088,W00EGS1016263
51224,W00EGS1016265
9704,W00EGS1016267
107920,W00EGS1016269
20448,W00EGS1016271
104676,W00EGS1016273
30572,W00EGS1016276
13604,W00EGS1016278
30984,W00EGS1016280
26468,W00EGS1016282
8984,W00EGS1016284
12116,W00EGS1016286
49200,W00EGS1016288
19448,W00EGS1016290
56708,W00EGS1016292
11100,W00EGS1016294
68196,W00EGS1016296
2157928,W00EGS1016299
19712,W00EGS1016612
28780,W00EGS1016615
96888,W00EGS1016620
7340,W00EGS1016622
667180,W00EGS1016625
47968,W00EGS1016676
40764,W00EGS1016678
71488,W00EGS1016680
29904,W00EGS1016682
49176,W00EGS1016684
69804,W00EGS1016686
14012,W00EGS1016689
23656,W00EGS1016695
12868,W00EGS1016699
29444,W00EGS1016701
794692,W00EGS1016703
34360,W00EGS1016705
38924,W00EGS1016707
18540,W00EGS1016709
71000,W00EGS1016711
6404,W00EGS1016713
6528,W00EGS1016717
1868,W00EGS1016719
55404,W00EGS1016722
47188,W00EGS1016725
111624,W00EGS1016728
762468,W00EGS1016731
66844,W00EGS1016733
85072,W00EGS1016735
884804,W00EGS1016737
1207204,W00EGS1016740
3796,W00EGS1016743
12976,W00EGS1016745
38236,W00EGS1016747
18172,W00EGS1016750
18732,W00EGS1016752
56316,W00EGS1016755
10912,W00EGS1016757
70008,W00EGS1016759
64964,W00EGS1016761
5908,W00EGS1016764
91748,W00EGS1016766
88760,W00EGS1016768
11796,W00EGS1016770
61120,W00EGS1016772
6524,W00EGS1016774
15824,W00EGS1016776
13080,W00EGS1016780
82596,W00EGS1016782
31120,W00EGS1016784
22308,W00EGS1016787
4220,W00EGS1016789
476852,W00EGS1016791
9400,W00EGS1016793
3332,W00EGS1016795
18204,W00EGS1016798
41052,W00EGS1016800
51112,W00EGS1016802
31668,W00EGS1016804
519536,W00EGS1016835
1623768,W00EGS1016899
50384,W00EGS1016924
93948,W00EGS1016925
42840,W00EGS1016927
106732,W00EGS1016928
117360,W00EGS1016929
7628,W00EGS1016931
50928,W00EGS1016933
46392,W00EGS1016935
37040,W00EGS1016937
28644,W00EGS1016940
29624,W00EGS1016941
38140,W00EGS1016943
41252,W00EGS1016947
37580,W00EGS1016949
111204,W00EGS1016950
154628,W00EGS1016951
70168,W00EGS1016952
172828,W00EGS1016954
96316,W00EGS1016955
27772,W00EGS1016956
27208,W00EGS1016958
237020,W00EGS1016959
38908,W00EGS1016960
37748,W00EGS1016962
231152,W00EGS1016963
40648,W00EGS1016968
52076,W00EGS1016969
61300,W00EGS1016971
64996,W00EGS1016972
82164,W00EGS1016973
81572,W00EGS1016980
247340,W00EGS1016981
25580,W00EGS1016982
26152,W00EGS1016983
35420,W00EGS1016984
30120,W00EGS1016988
51372,W00EGS1016994
26940,W00EGS1016999
28776,W00EGS1017004
41012,W00EGS1017007
20608,W00EGS1017010
15424,W00EGS1017014
72748,W00EGS1017022
54996,W00EGS1017030
86084,W00EGS1017033
28136,W00EGS1017037
30872,W00EGS1017040
30712,W00EGS1017042
35256,W00EGS1017043
9764,W00EGS1017048
14336,W00EGS1017051
11520,W00EGS1017054
7568,W00EGS1017059
16772,W00EGS1017063
14664,W00EGS1017066
29296,W00EGS1017069
16376,W00EGS1017070
82296,W00EGS1017077
270112,W00EGS1017082
78504,W00EGS1017093
450952,W00EGS1017102
177324,W00EGS1017117
65736,W00EGS1017120
78920,W00EGS1017123
363416,W00EGS1017126
56924,W00EGS1017133
46084,W00EGS1017134
71612,W00EGS1017136
31536,W00EGS1017144
33152,W00EGS1017147
35936,W00EGS1017150
1275508,W00EGS1017151
126404,W00EGS1017157
44436,W00EGS1017165
29564,W00EGS1017169
163372,W00EGS1017172
132064,W00EGS1017177
40888,W00EGS1017181
69356,W00EGS1017184
15952,W00EGS1017186
107624,W00EGS1017193
200480,W00EGS1017196
14628,W00EGS1017203
104744,W00EGS1017210
84076,W00EGS1017214
19460,W00EGS1017219
25616,W00EGS1017241
521204,W00EGS1017245
55280,W00EGS1017287
107400,W00EGS1017292
48360,W00EGS1017300
22256,W00EGS1017303
19304,W00EGS1017306
8572,W00EGS1017310
91112,W00EGS1017313
126312,W00EGS1017316
95488,W00EGS1017319
84256,W00EGS1017322
67620,W00EGS1017328
57408,W00EGS1017331
214584,W00EGS1017334
39360,W00EGS1017337
60168,W00EGS1017341
122248,W00EGS1017345
141828,W00EGS1017349
51408,W00EGS1017352
103176,W00EGS1017357
4331912,W00EGS1017359
30008,W00EGS1017362
9596,W00EGS1017393
5548,W00EGS1017396
341256,W00EGS1017401
127412,W00EGS1017419
51108,W00EGS1017421
23072,W00EGS1017422
270888,W00EGS1017426
13708,W00EGS1017462
38800,W00EGS1017463
14944,W00EGS1017511
126848,W00EGS1017555
15236,W00EGS1017628
