work#,size
W00CHZ0103335,379824
W00CHZ0103340,593988
W00CHZ0103341,68420
W00CHZ0103342,223800
W00CHZ0103343,112392
W00CHZ0103344,193300
W00CHZ0103345,767060
W00EGS1015752,262968
W00EGS1016047,65040
W00EGS1016181,16040
W00EGS1016199,110748
W00EGS1016202,18544
W00EGS1016213,212428
W00EGS1016236,338828
W00EGS1016238,1569592
W00EGS1016240,607452
W00EGS1016242,67792
W00EGS1016244,1563196
W00EGS1016246,716104
W00EGS1016248,328440
W00EGS1016251,113004
W00EGS1016253,4065692
W00EGS1016255,49264
W00EGS1016257,467824
W00EGS1016259,22304
W00EGS1016261,69676
W00EGS1016263,71968
W00EGS1016265,104316
W00EGS1016267,58332
W00EGS1016269,216792
W00EGS1016271,45844
W00EGS1016273,210456
W00EGS1016276,63032
W00EGS1016278,79696
W00EGS1016280,63768
W00EGS1016282,55528
W00EGS1016284,52028
W00EGS1016286,161812
W00EGS1016288,100072
W00EGS1016290,41796
W00EGS1016292,115500
W00EGS1016294,58684
W00EGS1016296,128804
W00EGS1016299,6510872
W00EGS1016612,19720
W00EGS1016615,61368
W00EGS1016620,96896
W00EGS1016622,54380
W00EGS1016625,1321656
W00EGS1016676,2702760
W00EGS1016678,83924
W00EGS1016680,145392
W00EGS1016682,63052
W00EGS1016684,49184
W00EGS1016686,3411568
W00EGS1016689,113080
W00EGS1016695,51104
W00EGS1016699,30320
W00EGS1016701,63016
W00EGS1016703,5716652
W00EGS1016705,71896
W00EGS1016707,81400
W00EGS1016709,41132
W00EGS1016711,962604
W00EGS1016713,48672
W00EGS1016717,43676
W00EGS1016719,13592
W00EGS1016722,463300
W00EGS1016725,296220
W00EGS1016728,182628
W00EGS1016731,1396912
W00EGS1016733,668480
W00EGS1016735,85080
W00EGS1016737,1200372
W00EGS1016740,1734780
W00EGS1016743,12708
W00EGS1016745,499768
W00EGS1016747,79428
W00EGS1016750,40508
W00EGS1016752,40748
W00EGS1016755,113424
W00EGS1016757,26228
W00EGS1016759,138748
